id,key,value,type
27565027,name,Dar es Salaam,regular
27565027,is_in,Tanzania,regular
27565027,place,city,regular
27565027,ar,دار السلام,name
27565027,da,Dar es-Salaam,name
27565027,de,Daressalam,name
27565027,el,Νταρ ες Σαλάμ,name
27565027,en,Dar es Salaam,name
27565027,he,דאר א-סלאם,name
27565027,hi,दार अस सलाम,name
27565027,kn,ದಾರ್ ಅಸ್ ಸಲಾಮ್,name
27565027,lt,Dar es Salamas,name
27565027,pl,Dar es Salaam,name
27565027,ru,Дар-эс-Салам,name
27565027,uk,Дар-ес-Салам,name
27565027,zh,達累斯薩拉姆,name
27565027,wikidata,Q1960,regular
27565027,wikipedia,en:Dar es Salaam,regular
27565027,population,4364541,regular
27565027,country,Tanzania,is_in
27565027,continent,Africa,is_in
164714225,created_by,JOSM,regular
164714288,created_by,JOSM,regular
252944270,created_by,JOSM,regular
252944354,created_by,JOSM,regular
262088828,name,Mkuranga,regular
262088828,is_in,"Pwani, Tanzania",regular
262088828,place,town,regular
262088828,created_by,Potlatch 0.8c,regular
277494826,amenity,ferry_terminal,regular
279284657,name,Buguruni,regular
279284657,is_in,"Dar es Salaam, Tanzania",regular
279284657,place,suburb,regular
282569958,highway,bus_stop,regular
282760704,highway,traffic_signals,regular
282765597,name,OilCom,regular
282765597,amenity,fuel,regular
282776147,barrier,gate,regular
282777973,public_transport,platform,regular
282780405,amenity,police,regular
282783001,public_transport,platform,regular
282843023,name,Ngazija Mosque [53],regular
282843023,amenity,place_of_worship,regular
282843023,religion,muslim,regular
282890749,name,Morocco,regular
282890749,is_in,"Dar es Salaam, Tanzania",regular
282890749,place,suburb,regular
330142522,name,NBC,regular
330142522,amenity,atm,regular
608044525,name,White Sands Resort,regular
608044525,tourism,hotel,regular
922240809,name,Usalama,regular
922240809,highway,bus_stop,regular
922241375,name,Assemblies of God,regular
922241375,amenity,place_of_worship,regular
922241375,religion,christian,regular
922243968,highway,bus_stop,regular
924275744,name,Mawenzi,regular
924275744,highway,bus_stop,regular
924472352,name,Coral Ridge Spur,regular
924472352,amenity,restaurant,regular
1394566414,power,transformer,regular
1395175359,man_made,tower,regular
1395175359,operator,Vodacom,regular
1395175359,type,communication,tower
1395897306,amenity,drinking_water,regular
1396737667,name,Wakulima Bar,regular
1396737667,amenity,bar,regular
1399524003,amenity,drinking_water,regular
1399595600,natural,spring,regular
1399633126,shop,hairdresser,regular
1399657166,amenity,drinking_water,regular
1399672916,amenity,private_toilets,regular
1399692134,name,Hamisi Phone Accessories,regular
1399692134,shop,mobile_phone,regular
1399692134,operator,Hamisi,regular
1399692134,opening_hours,24/7,regular
1399822134,amenity,community_centre,regular
1400816326,shop,tailor,regular
1400816326,opening_hours,08:00-21:00,regular
1400816711,shop,boutique,regular
1400816711,opening_hours,08:00-22:00,regular
1400863759,name,Mapunda Shop,regular
1400863759,shop,kiosk,regular
1400867251,name,Omary,regular
1400867251,shop,kiosk,regular
1400867251,opening_hours,08:00-22:00,regular
1401897223,name,Selemani,regular
1401897223,shop,kiosk,regular
1401897223,opening_hours,07:00-22:00,regular
1401911328,amenity,private_toilets,regular
1401911419,shop,seafood,regular
1401926562,amenity,library,regular
1401963537,amenity,drinking_water,regular
1403081687,name,Wajasiliamali,regular
1403081687,shop,kiosk,regular
1403088001,amenity,private_toilet,regular
1403099798,man_made,water_tank,regular
1403110744,name,AL-Madrasa-Nuur-Fatma,regular
1403110744,amenity,place_of_worship,regular
1403110744,religion,muslim,regular
1403110744,opening_hours,08:00-18:00,regular
1403110774,power,pole,regular
1404335918,amenity,private_toilets,regular
1404350055,power,pole,regular
1404350217,fee,no,regular
1404350217,amenity,private_toilets,regular
1404350217,wheelchair,no,regular
1404361210,shop,kiosk,regular
1408260278,shop,frame,regular
1408260331,amenity,private_toilets,regular
1408260371,amenity,private_toilets,regular
1408263341,natural,tree,regular
1408263364,fee,no,regular
1408263364,amenity,private_toilets,regular
1408263364,wheelchair,no,regular
1408303929,shop,kiosk,regular
1409414714,amenity,Private_toilets,regular
1409437744,amenity,private_toilet,regular
1409454414,man_made,water_tank,regular
1409488085,amenity,private_toilet,regular
1409495074,amenity,private_toilets,regular
1409532387,fee,no,regular
1409532387,amenity,private_toilets,regular
1409532387,wheelchair,no,regular
1410833369,name,Plastic Sacs Store,regular
1410833369,shop,convenience,regular
1410846834,shop,beverages,regular
1410858927,name,Private Video Library,regular
1410858927,shop,video,regular
1410858927,opening_hours,Mo-Sa 08:30-20:00,regular
1410865605,amenity,private_toilets,regular
1410879218,amenity,private_toilets,regular
1410930880,amenity,private_toilets,regular
1411287463,name,Juma Hamis,regular
1411287463,shop,shoes,regular
1411287463,opening_hours,08:00-18:00,regular
1412080177,name,Gezaulole,regular
1412080177,amenity,bore hole,regular
1412080177,man_made,reservoir_covered,regular
1412902005,shop,mobile_phone,regular
1484143577,name,Embassy of the Kingdom of the Netherlands,regular
1484143577,target,TZ,regular
1484143577,amenity,embassy,regular
1484143577,country,NL,regular
1484143577,diplomatic,embassy,regular
1558156569,amenity,bank,regular
1576599008,amenity,fuel,regular
1790059930,natural,tree,regular
1809904514,barrier,gate,regular
1809943476,barrier,gate,regular
1809995504,name,Medipharm,regular
1809995504,amenity,pharmacy,regular
1887981098,name,UBUNGO II,regular
1887981098,power,generator,regular
2219232656,power,tower,regular
2229557825,railway,level_crossing,regular
2477946767,street,Tunisia Road,addr
2477946767,name,DStv Tanzania,regular
2477946767,phone,+255 754 200096,regular
2477946767,shop,Shop,regular
2477946767,website,www.dstv.com,regular
2477946767,wikidata,Q1155790,regular
2477946767,wikipedia,en:DStv,regular
2520670427,amenity,drinking_water,regular
2875895542,name,KWA TARIMO WATER POINT,regular
2926246587,name,Kisiwani,regular
2926246587,amenity,bus_station,regular
2951491473,highway,crossing,regular
2951491521,highway,crossing,regular
2997197138,amenity,toilets,regular
3059735370,name,Seifi School Centre,regular
3098734189,amenity,bureau_de_change,regular
3106340429,name,Beach bar,regular
3106340429,amenity,bar,regular
3120490629,name,Balesa,regular
3120490629,highway,bus_stop,regular
3176498631,name,Embassy of Finland,regular
3176498631,email,sanomat.dar@formin.fi,regular
3176498631,phone,+255-22-2196 565,regular
3176498631,target,TZ,regular
3176498631,amenity,embassy,regular
3176498631,country,FI,regular
3176498631,fi,Suomen suurlähetystö,name
3176498631,sv,Finlands ambassad,name
3176498631,website,www.finland.or.tz,regular
3176498631,city,Dar es Salaam,addr
3176498631,diplomatic,embassy,regular
3176498631,street,Mirambo Street,addr
3176498631,fax,+255-22-2196 573,contact
3273755053,name,Silver sands Camp,regular
3273755053,tourism,camp_site,regular
3359885876,name,Holiday Inn,regular
3359885876,note,Holiday Inn,regular
3394964069,name,BUNI Hub,regular
3394964069,office,educational_institution,regular
3394964069,amenity,coworking_space,regular
3394964069,website,http://buni.or.tz,regular
3394964069,city,Dar es salaam,addr
3394964069,postcode,4023,addr
3394964069,opening_hours,8:00-20:00,regular
3421292507,name,Shaymaah,regular
3421292507,amenity,restaurant,regular
3421313360,name,Yemen Cafe,regular
3421313360,amenity,cafe,regular
3421313360,operator,Yemen Cafe,regular
3423121204,name,Car and AC Services,regular
3423121204,shop,car_repair,regular
3423179376,name,Sunset Take Away,regular
3423179376,amenity,restaurant,regular
3429855823,name,Urban Fashion & Cosmetics,regular
3429855823,shop,clothes,regular
3429871020,natural,tree,regular
3429879185,name,Max Malipo,regular
3429879185,office,company,regular
3429883555,access,permissive,regular
3429883555,amenity,private_toilets,regular
3429883555,drinking_water,no,regular
3429883555,disposal,pitlatrine,toilets
3429968311,natural,tree,regular
3429968311,species,coconut,regular
3430006713,name,Comorians Classic Collection,regular
3430006713,shop,clothes,regular
3430028163,natural,tree,regular
3430065763,natural,tree,regular
3430065763,species,coconut,regular
3431294229,name,mama ntilie,regular
3431294229,shop,tea,regular
3431311889,name,Mbalamwezi Community Organization,regular
3431311889,amenity,community_centre,regular
3431315219,food,chips,regular
3431315219,amenity,fast_food,regular
3431321672,shop,laundry,regular
3431335863,name,Kenedy Shop,regular
3431335863,shop,convenience,regular
3431374033,name,Pillow Cover,regular
3431374033,shop,convenience,regular
3431405862,shop,convenience,regular
3431418875,name,Genge la Vyakula,regular
3431418875,shop,kiosk,regular
3431433637,natural,tree,regular
3431433655,natural,tree,regular
3431433677,natural,tree,regular
3431460147,name,Ngalikasaka Video Library,regular
3431460147,shop,convenience,regular
3431461329,man_made,water_tank,regular
3431461415,man_made,water_tank,regular
3431504315,natural,tree,regular
3431504315,species,coconut,regular
3433590912,shop,stationery,regular
3433655414,amenity,private_toilets,regular
3433655414,num_chambers,2,toilets
3433656584,name,Mama Ntilie,regular
3433656584,amenity,fast_food,regular
3433758788,amenity,private_toilets,regular
3433758788,num_chambers,1,toilets
3433771677,amenity,private_toilets,regular
3433771677,num_chambers,1,toilets
3433989484,natural,tree,regular
3433994502,natural,tree,regular
3433994502,species,palm,regular
3433994520,natural,tree,regular
3433994520,species,palm,regular
3433999692,natural,tree,regular
3433999692,species,coconut,regular
3434003105,natural,tree,regular
3435261438,height,11,regular
3435261438,natural,tree,regular
3435261438,species,mnazi,regular
3435306322,natural,tree,regular
3437577965,man_made,water_tank,regular
3444553786,name,Mjizu Barbershop,regular
3444553786,shop,hairdresser,regular
3444558813,name,2 Sisters,regular
3444558813,shop,convenience,regular
3444575270,man_made,water_tank,regular
3444599009,natural,tree,regular
3444636726,natural,tree,regular
3444636726,species,Coconut,regular
3444642074,man_made,works,regular
3444669318,amenity,cinema,regular
3446242300,shop,convenience,regular
3446242300,street,Mchafu,addr
3446242318,amenity,restaurant,regular
3446242318,street,Mchafu,addr
3446242318,internet_access,no,regular
3446242318,fee,no,internet_access
3446312730,name,Sambarouk Ice Cream,regular
3446312730,shop,kiosk,regular
3446325280,amenity,restaurant,regular
3446325300,natural,tree,regular
3446336364,amenity,fast_food,regular
3446359463,natural,tree,regular
3446359463,species,coconut,regular
3446389568,name,Ranma Jewellers,regular
3446389568,shop,jewelry,regular
3446407480,name,Betlehem House,regular
3446407480,shop,convenience,regular
3446418705,natural,tree,regular
3446447367,natural,tree,regular
3448013819,name,Aloys & Associates,regular
3448013819,office,lawyer,regular
3448013819,city,Dar Es Salaam,addr
3448013819,street,off Kinondoni Road/Burundi Street,addr
3448013819,postcode,+255 22 2664203,addr
3448013819,housenumber,"House No.2,Plot 105 & 106",addr
3448151580,man_made,water_tower,regular
3448172302,shop,convenience,regular
3448222576,shop,convenience,regular
3448245757,name,Kibanda cha Chips,regular
3448245757,shop,kiosk,regular
3448267016,natural,tree,regular
3448267016,species,mwarobaini,regular
3448270536,natural,tree,regular
3448270536,species,mwarobaini,regular
3448311648,name,Fundi Pikipiki,regular
3448311648,shop,car_repair,regular
3448331981,power,transformer,regular
3448356343,natural,tree,regular
3448356361,natural,tree,regular
3448356379,natural,tree,regular
3449333922,natural,tree,regular
3453721995,natural,tree,regular
3453727703,man_made,water_tower,regular
3453759538,man_made,water_tank,regular
3453876219,natural,tree,regular
3455261861,name,Natasha Dressing Saloon,regular
3455261861,shop,beauty,regular
3455284714,name,Duka la Rejareja,regular
3455284714,shop,convenience,regular
3455284786,name,3S Security Co. Ltd,regular
3455284786,office,company,regular
3455285552,shop,convenience,regular
3455312561,name,Sadolin Shop,regular
3455312561,shop,car_parts,regular
3455312561,street,Makanya Street,addr
3455312561,opening_hours,sunrise-sunset,regular
3455312927,natural,tree,regular
3455360080,natural,tree,regular
3455360294,natural,tree,regular
3455380102,natural,tree,regular
3455380120,natural,tree,regular
3455388290,natural,tree,regular
3455389008,natural,tree,regular
3455389026,natural,tree,regular
3455401506,natural,tree,regular
3471185029,shop,convenience,regular
3472845543,shop,kiosk,regular
3472869555,shop,tea,regular
3472923737,shop,kiosk,regular
3472977835,shop,convenience,regular
3472977871,shop,convenience,regular
3472979321,name,Washoka Shop,regular
3472979321,shop,convenience,regular
3472979339,shop,variety_store,regular
3472993338,name,Maabara,regular
3472993338,amenity,clinic,regular
3473067201,street,Mtogole Street,addr
3473068187,name,"Doctor Mamuya, Herlbalist Clinic",regular
3473068187,amenity,doctors,regular
3473071531,natural,tree,regular
3473071531,species,coconut,regular
3473071549,natural,tree,regular
3473080972,shop,greengrocer,regular
3473135883,name,Tandale Food,regular
3473135883,office,association,regular
3473194784,amenity,fast_food,regular
3483578418,shop,motorcycle,regular
3483715552,name,Hair Beuty Salon,regular
3483715552,shop,hairdresser,regular
3483723234,man_made,water_tank,regular
3483840590,man_made,water_tank,regular
3483870874,name,Wakala Mpesa,regular
3483870874,amenity,bureau_de_change,regular
3483870892,shop,mobile_phone,regular
3483881328,amenity,bureau_de_change,regular
3483894934,natural,tree,regular
3485992160,man_made,water_tank,regular
3486079847,shop,shoes,regular
3486154018,man_made,water_tank,regular
3486204758,man_made,water_tank,regular
3486213555,amenity,bar,regular
3486264099,natural,tree,regular
3486264117,natural,tree,regular
3486451702,shop,stationery,regular
3488604988,natural,tree,regular
3488613666,height,8,regular
3488613666,natural,tree,regular
3488613685,height,8,regular
3488613685,natural,tree,regular
3488614023,height,8,regular
3488614023,natural,tree,regular
3488614041,height,8,regular
3488614041,natural,tree,regular
3488614059,height,8,regular
3488614059,natural,tree,regular
3488614077,height,8,regular
3488614077,natural,tree,regular
3488614095,height,8,regular
3488614095,natural,tree,regular
3488614131,height,8,regular
3488614131,natural,tree,regular
3488618906,natural,tree,regular
3488618924,natural,tree,regular
3488638786,natural,tree,regular
3488638904,natural,tree,regular
3488638923,natural,tree,regular
3488638923,species,coconut,regular
3488638941,natural,tree,regular
3488638941,species,coconut,regular
3488663506,natural,tree,regular
3488735765,height,7,regular
3488735765,natural,tree,regular
3488735783,height,7,regular
3488735783,natural,tree,regular
3488736102,height,7,regular
3488736102,natural,tree,regular
3488736121,height,7,regular
3488736121,natural,tree,regular
3488736143,height,7,regular
3488736143,natural,tree,regular
3488736325,height,7,regular
