id,key,value,type
20819736,source,PGS,regular
20819736,natural,coastline,regular
20820674,source,PGS,regular
20820674,natural,water,regular
20821041,source,PGS,regular
20821041,natural,coastline,regular
23319740,highway,tertiary,regular
23319740,name,Old Bagamoyo Road,regular
23319740,smoothness,good,regular
23319740,surface,asphalt,regular
23319740,width,10,regular
23326756,oneway,yes,regular
23326756,highway,secondary,regular
23331364,name,Zambia Road,regular
23331364,width,10,regular
23331364,highway,residential,regular
23331364,surface,asphalt,regular
23331886,name,Azikiwe Road,regular
23331886,oneway,yes,regular
23331886,source,local knowledge,regular
23331886,highway,tertiary,regular
23331886,old_name,Azikiwe Street,regular
23334301,highway,residential,regular
23334546,gauge,1067,regular
23334546,railway,rail,regular
23334546,service,siding,regular
23334546,electrified,no,regular
23334667,highway,tertiary,regular
23334667,surface,paved,regular
23334806,highway,residential,regular
23334806,name,Mivinjeni street,regular
23339159,highway,residential,regular
23342124,highway,residential,regular
23352910,boat,yes,regular
23352910,waterway,river,regular
23352910,created_by,Potlatch 0.7b,regular
23360319,source,Bing,regular
23360319,highway,unclassified,regular
23360957,building,hangar,regular
23363548,name,Kitumbini Street,regular
23363548,highway,residential,regular
23375875,name,Kunduchi Road,regular
23375875,highway,unclassified,regular
25059053,highway,residential,regular
25108399,highway,residential,regular
25143226,name,Clock Tower,regular
25143226,highway,secondary,regular
25143226,junction,roundabout,regular
25421066,name,Kisarawe Street,regular
25421066,width,5,regular
25421066,highway,residential,regular
25421066,surface,asphalt,regular
25421066,smoothness,intermediate,regular
25742199,name,Changombe Rd.,regular
25742199,oneway,yes,regular
25742199,highway,primary,regular
25922100,name,Sam Nujoma Road,regular
25922100,oneway,yes,regular
25922100,highway,primary,regular
25923700,ref,T26,regular
25923700,lanes,2,regular
25923700,layer,1,regular
25923700,bridge,yes,regular
25923700,highway,trunk,regular
25923700,surface,asphalt,regular
25928450,highway,residential,regular
25929015,waterway,drain,regular
25929360,name,India Street,regular
25929360,oneway,yes,regular
25929360,highway,unclassified,regular
25931219,highway,footway,regular
25932260,oneway,yes,regular
25932260,highway,service,regular
25932260,surface,gravel,regular
25934921,oneway,yes,regular
25934921,highway,tertiary,regular
25934941,oneway,yes,regular
25934941,highway,trunk,regular
27514578,source,yahoo-sat,regular
27514578,highway,service,regular
27514578,created_by,Potlatch 0.7b,regular
27514602,name,Nyati Road,regular
27514602,width,5,regular
27514602,source,yahoo-sat,regular
27514602,highway,residential,regular
27514602,surface,unpaved,regular
27514602,smoothness,intermediate,regular
27514629,name,Likoma Street,regular
27514629,width,7,regular
27514629,highway,residential,regular
27514629,surface,unpaved,regular
27514629,smoothness,bad,regular
29732579,source,yahoo imagery,regular
29732579,highway,residential,regular
29990062,highway,service,regular
29990062,surface,unpaved,regular
